coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,Date,price_volatility,liquidity_ratio,price_ma_7,price_ma_30,24h_volume_ma_7,24h_volume_ma_30,price_volatility_7
Monero,XMR,0.0045937055025362,0.8848560700876096,0.5372035977105477,0.0938830816879597,0.0043427468592519,0.0043179062604154,2022-03-16,2022-03-16,0.001899025013777186,1.0057529268442502,0.0015633183440880642,0.03609481771779246,0.006912957416280944,0.00952539087978468,0.001899025013777186
cETH,CETH,0.0013030945523203,0.8798498122653317,0.5355682747342599,0.1157568718544328,1.8788997687273245e-08,0.0040273124612799,2022-03-16,2022-03-16,0.0018969112131698603,4.665393576465137e-06,0.0015745826930923927,0.03607865944238994,0.006200347139462513,0.009026649034534075,0.0018969112131698603
VeChain,VET,1.1608739024928562e-06,0.916145181476846,0.5551921504497137,0.1134339914827719,0.0048933969503497,0.0040036913510565,2022-03-16,2022-03-16,0.001904717270223286,1.2222213255920498,0.001566326265124764,0.036077889415695265,0.005712622900294785,0.006865610328067631,0.001904717270223286
Fantom,FTM,2.959924319383705e-05,0.934918648310388,0.5461978740801308,0.0927216415021292,0.0202485894044555,0.0038751463073416,2022-03-16,2022-03-16,0.0019680844616984084,5.225245138769043,0.0014772165996166694,0.03607878252029277,0.007827021375642298,0.0072805938434878205,0.0019680844616984084
Filecoin,FIL,0.0004189991233897,0.9011264080100124,0.5363859362224038,0.100077429345722,0.004563756746786,0.0038485920169718,2022-03-16,2022-03-16,0.0016583840133755218,1.1858250307282285,0.0009736828693553979,0.036091940435247674,0.007692849106120884,0.007005683339168771,0.0016583840133755218
Osmosis,OSMO,0.0002278171261346,0.8986232790988735,0.5429272281275551,0.1078203639179248,0.0016232452782534,0.0038330694396812,2022-03-16,2022-03-16,0.0016455125475303306,0.42348444341994673,0.00099555303619149,0.0360995343213233,0.00548572572214097,0.006745447760550236,0.0016455125475303306
Klaytn,KLAY,2.668784222041003e-05,0.9011264080100124,0.5470155355682746,0.105691056910569,0.0009861584447221,0.0038257122203501,2022-03-16,2022-03-16,0.001673537773012668,0.2577712038758248,0.0009430091805282201,0.0030880159294764853,0.005236844638973755,0.006523409999851634,0.001673537773012668
Frax,FRAX,2.4222661969510253e-05,0.8785982478097623,0.5290269828291086,0.1080139372822299,0.0003140451145459,0.0036097367663301,2022-03-16,2022-03-16,0.0004722420245945664,0.08699945034085664,0.0002902259175901215,0.0030884985888083626,0.004661315818301469,0.0064767834193418606,0.0004722420245945664
Waves,WAVES,0.0006943691321263,0.8986232790988735,0.5944399018806213,0.1608594657375144,0.0260307099153817,0.0036035739813683,2022-03-16,2022-03-16,0.0002653829972920177,7.223581380587523,0.0002032651432766929,0.0031104796661577346,0.008379985979213472,0.006961596762891524,0.0002653829972920177
Theta Network,THETA,6.841792283953066e-05,0.921151439299124,0.5551921504497137,0.1072396438250096,0.002051187700507,0.0035217744116995,2022-03-16,2022-03-16,0.0002579600204379188,0.5824301788589462,0.00021287329312484114,0.0031119520028748448,0.0079739560863788,0.006850968704073571,0.0002579600204379188
